Tweet,Sentiment,Sentiment Score,Original Label
Bitch are you fucking kidding me??? So if women get hit by their husbands its cuz they're hitam?? Not bc he's an abusive asshole?? 😒😒,Negative,-0.8507,Hate
Hey Guys. It’s ok for her to say no. Stop calling women Bitches for declining your advances. Doesn’t matter the tim…,Negative,-0.5859,Non-hate
I like to tell people that I drink every night cause I can't sleep but at this point it's just a blatant lie cause I've been tired for years,Negative,-0.4767,Non-hate
"'Not all men are like that, its the ones you meet.'",Positive,0.3612,Non-hate
@user fuck you u a fucking whore Lil bitch I don't even like u tbh,Negative,-0.9356,Hate
"Where is this? Brazil? Uganda? Sudan? Nope, it is France. Got to love that cultural enrichment thing going on. #openborders #refugeesnotwelcome #slums",Positive,0.7319,Hate
And bitch i was tweeting a song i got no times being sad for smeone i mean im a busy women you see.,Negative,-0.8442,Non-hate
Mood GO HOME AND GET YA FUCKIN SHINE BOX,Neutral,0.0,Non-hate
@user True slow your role bitch n get your ass outta here 😉🐼xx,Negative,-0.6705,Hate
"Let me pick your brains with this concept ""EQUAL RIGHTS"".  What is that we are getting equal rights? We call equal rights being debt embedded? We call equal rights moving from kasi to cities without carrying pass? Nevertheless i carry one since i look like ""immigrant""",Neutral,0.0,Non-hate
"Woman Who Accused Nelly of Rape Wants to Drop the Case, Will Not Testify The woman who accused rapper Nelly of sex…",Negative,-0.8807,Non-hate
that bitch wanna act funny bitch ima act hysterical,Negative,-0.7003,Hate
"""They ask us to integrate into society and to learn the German language - but I couldn't find a place to live for three years because my requests were ignored"" #refugees",Negative,-0.4497,Non-hate
#StandwithICE #BackTheBlue #BuildThatWall Time to send the vacationing illegals back where they came from and start focusing on OUR dreamers! #DACAisWACA #SendThemBack,Neutral,0.0,Hate
"@user White woman by no means a victim she is the epitome of wickedness & rape of Black people, her hands mo…",Negative,-0.9022,Hate
That's you tryna see me,Neutral,0.0,Non-hate
Girls hear you say “fuckkk” during sex and think her pussy fire First of all hoe I’m really just feeling bad for cheating on my girl😂😂😂😂,Positive,0.3848,Hate
"If you don't have haters you're doing somethin wrong... I got haters, stalkers and people that just plain don't like me... Luh u hoes",Negative,-0.6987,Non-hate
I'm kind of a big deal for someone who ain't shit,Positive,0.4449,Non-hate
"A clear shift (again) on the migratory routes of the Mediterranean. Another proof that no matter what deals European countries strike with African nations, migrants and refugees will find another way through. It's like covering one leak just to find out there are thousands more.",Positive,0.2792,Non-hate
Barcelona mayor: 'it is our duty to welcome' migrants,Positive,0.4588,Non-hate
Leftist guy kicked out from his own house naked by refugees he invitied,Neutral,0.0,Hate
HOW FUCKING DARE YOU LOOK AT HER WHILE CALLING HIM HIS SPIRITUAL SON YOU CUNT FUCKING BITCH,Negative,-0.807,Hate
This is superb. Practical guide for rights of women esp at divorce and rape in marriage. @user @user @user,Negative,-0.1531,Non-hate
This wall is called Tzompankli. In the maintempel of Tetotitlan you find walls with more than 100.000 heads. Mostly they kill refugees and warprisoners from south and they did it also in other cities so.,Negative,-0.6908,Non-hate
That was it when Dick Rickles; ? You all want do w/ 248 Mtn Shrod?,Negative,-0.5204,Non-hate
How to Pronounce Slipknot Bitch ↺RT❤ #mutt #demur #slut #shrew #sultana #kickupafuss #refute #bar,Negative,-0.6486,Non-hate
RT @user @user I have actually asked 'why are you still here?' to a man's face before.,Neutral,0.0,Non-hate
"U.S. holding 3,000 separated migrant kids, will find parents with DNA via @user",Neutral,0.0,Non-hate
Something y'all dudes fail to realize about a pretty girl is; she's never lonely. 💁🏼,Positive,0.6136,Non-hate
Germany: Mass migration of un-assimilatable illegal alien people. PM Merkel and entire govt. will have a civil war of their own making. #StopTheInvasion  #NoMoreRefugees #MuslimBan #GermanyFirst,Negative,-0.8176,Hate
Why don’t they stay if there refugees they should go home once they feel that it’s safe,Positive,0.4404,Non-hate
"Same here, #WalkAway from criminals who hate us and our nation @user @user #BuildTheWall #LockThemUp #EndDACA now !!!!!!!!!!!",Negative,-0.8614,Hate
I'll only break your heart to make you stronger as a person... Lmao you should thank me really,Positive,0.9217,Non-hate
@user hurry up on the ham and cheese,Neutral,0.0,Non-hate
When is Deadbeat @user going to pay #Ontario the $200 million he owes for housing his illegal immigrants? #onpoli #FordNation #ForThePeople #cpc #lpc #ndp #pcpo #onpc #ondp #Border #illegalimmigrants #TrudeauMustGo,Negative,-0.6124,Hate
The Latest: Macedonian police find 44 migrants inside truck,Neutral,0.0,Non-hate
@user Exactly! Why would Americans vote for anyone that supports these absurd policies? IMO it is treason and self destruction to vote for politicians that do not up hold our laws and advocates for illegals over Americans. #BuildThatWall #NoDACA,Negative,-0.6588,Hate
"In recent months, the focus of the media has been on the Rohingya refugees in India or recently about the furor over NRC in Assam. But the fact that Sri Lankan refugees, have been here for nearly 35 years,...",Neutral,0.0,Non-hate
im single & its staying that way for a long time because I hate all you pussy niggas!,Negative,-0.75,Hate
EU migration policy in Africa pushes migrants to risk perilous journeys to reach Europe,Negative,-0.25,Non-hate
Austrian leaders respond to Gerrman plans for 'transit centres' to screen migrants,Neutral,0.0,Non-hate
Watch 10 Italian police officers try to arrest an illegal immigrant standing on bus - Free Speech Time - @user,Negative,-0.4019,Non-hate
"Absolutely in agreement. Genuine refugees welcome. Grown men, with smartphones, pretending to be children - not welcome.",Positive,0.6595,Non-hate
@user @user White man rape also. Brock Turner got caught raping a women only served 3 monthe,Negative,-0.8885,Non-hate
"“I know you liked how that pussy taste” First of all, I don’t have tastebuds bitch",Negative,-0.25,Non-hate
@user Sturgeon revels in the EU vote the moment immigration is ignored you will not be in power Scotland has not been it with it so far,Negative,-0.3182,Non-hate
@user Petrov!,Neutral,0.0,Non-hate
"Who could have possibly foreseen this? Yep, just about everyone who had Twitter and can read.             Daily Mail removes illegal immigrant article after fact check goes viral via @user",Negative,-0.2732,Non-hate
#NYC housing projects &; #PanAfrica men employment in #NYC service industry actually makes women who arent #SuburbanWhitemale 4 race mix- ho,Neutral,0.0,Non-hate
"@user @user @user @user @user @user If you really believe that #FeminismIsCancer, maybe…",Neutral,0.0,Hate
@user @user will be a two term President. Too much greatness in the Trump Economy. Next stop #BuildThatWall #MAGA,Negative,-0.296,Hate
"Your girl is a hoe, you need to let go She fucked a... — You sent this a few months ago. I just now got to i...",Negative,-0.6597,Hate
"@user Anti immigration party? More like commonsense, sane centrist party. We need more of this.",Positive,0.7089,Non-hate
All the men who catcall on the street I wish I could personally shove back up their moms whore cunt :),Negative,-0.4215,Hate
@user Again going on record that you care more for illegals than US Citizens. Theyre here illegally! #NoDACA #NoAmnesty,Positive,0.5411,Hate
"RT @user Snapchat me that PIN number, if it's... cool😅💳 #memes #lol #lmao #bruh #petty #truth #girls #love #guy #ctfu #dead #fuckery #pe…",Positive,0.93,Non-hate
@user Lmao they got this pillow that lets you lay on your stomach shit like a a little hole for your belly,Positive,0.4215,Non-hate
@user I have a tweet from a Swede who quotes me our country will never be the same again after Immigration neighbour hoods set alite,Neutral,0.0,Hate
"Heard a boy joking about date rape drugs and calling women “bitches.” First of all, you look like a peeled banana. Second of all, stop",Negative,-0.5423,Non-hate
.â¦@morningmikaâ© They’re ILLEGAL ALIENS. What is it about ILLEGAL and ALIEN that you don’t understand? #StopTheInvasion#DeportThemAll#NoAmnesty#BuildTheWall,Negative,-0.8647,Hate
Another MS-13-linked body found after arrest of gang member in Long Island teen's death - NY Daily News @user @user #BuildTheWall #StopTheInvasion #DeportThemAll #KeepAmericansSafe#NoDACADeal#NoAmnesty,Negative,-0.743,Hate
The man won this one,Positive,0.5719,Non-hate
"If any woman is a victim of sexual assault I pray you read the #metoo timeline, having an ex who was a victim of rape tell me she was and",Negative,-0.886,Non-hate
I’m in Cox’s Bazar this week seeing @user brilliant work in the Kutupalong refugee camp. Monsoon season just stepped up a gear. After just two days of heavy rains &amp; there is water everywhere. #rohingyacrisis,Positive,0.5859,Non-hate
As the @user final begins and @user is led by several keep in mind #refugee=#resiliency= #immigration  @user should take note! @user @user @user @user,Neutral,0.0,Non-hate
Syrian refugees — the need for an image reboot,Neutral,0.0,Non-hate
The German Government Pays for 3 Week Vacation for Refugees to Go Home.  So despite claiming their lives would be...,Neutral,0.0,Non-hate
Bitch ima wear an anklet bc its cute af lmao stfu,Positive,0.4767,Non-hate
boo you whore,Negative,-0.6486,Hate
"""I'm A Legal Immigrant And I Didn't Drag My Son Across The Border"" Powerful Immigration Speech",Positive,0.608,Non-hate
@user @user So its ok for a man to put his hands on a women... stfu. We know how your bitch living. Smh,Negative,-0.5606,Hate
@user @user @user How about holding parents responsible for breaking the law and endangering their children by illegally crossing the US border!  Catch and release is not a solution it's art of the US immigration problem!,Negative,-0.449,Hate
"NOW PLAYING: ""Canción del Campo (Field Song)"" by Brad Bischoff. Roberto Olivera, a second-generation immigrant who worked CA’s tomato fields to escape poverty &amp; an affectionless stepfather, explains the lessons his mother taught him.  #VideoArtsSFOM",Negative,-0.4708,Non-hate
@user same AF,Neutral,0.0,Non-hate
So migrants illegally sneaking into the USA can't expect to remain with their kids. Duh? They aren't walking into a mall but a different sovereign country which needs to end the influx. #BuildThatWall,Neutral,0.0,Hate
watching “teeth” this bitch pussc biting everybody dick off😳,Negative,-0.8316,Hate
Tech Workers and Flight Attendants Resist Immigrant Family Separation – Labor Notes,Neutral,0.0,Non-hate
"@user @user @user You're a liar let the vibe catch anyone of you and you're bussin a skank, you lot…",Negative,-0.5106,Hate
Do you ever see people in your feed and think 'lol I fucked you',Negative,-0.3818,Non-hate
"@user This is disgusting practice, make sure Huntleigh USA rehires these women.",Negative,-0.2732,Non-hate
@user @user Does he realize he's cheering for the #RacialReplacement and genocide of the French people??? How many of those players were #French???#StopTheInvasion #StopTheGreatReplacement #StopWhiteGenocide,Positive,0.644,Non-hate
@user & we should be cautious when using them. Slut and whore are examples. I don't think people should be us…,Negative,-0.8591,Non-hate
"The Olympics was fun, except for the fact that I would never watch a woman play sports.@",Positive,0.6908,Hate
When they won't stop talking about their ex on a first date,Positive,0.2235,Non-hate
Just got a ticket for going to my own park after hours . Like nigga close the gate then u dumb slut cunt hoe . Nigga said nice car when ....,Negative,-0.7184,Non-hate
@user So uhh what if you call a sweedish woman a 'slut',Negative,-0.5859,Hate
African refugees for Europe will come into slavery in Libya. This should be a warning for all which want to come to Europe. Dreams are over !,Negative,-0.6696,Hate
"This should be Federally Mandated Law on Criminal Illegal Aliens. Upon completion of maximum sentence allowed, alien is discharged into ICE custody for immediate Deportation. #EndSanctuaryCities #EndChainMigration #BuildTheWall #ProtectUS",Negative,-0.7717,Hate
@user Good!! We need that wall. #BuildThatWall,Positive,0.5399,Hate
"The US is in flagrant breach of the Refugee Convention, which states that countries cannot impose penalties on #refugees who illegally cross the border. Via @user",Positive,0.2235,Non-hate
"@user @user 1. Let in millions of immigrants, forcing up property prices so homes and children are unaffordable2. Raise taxes to fund healthcare, housing, and schools for said immigrantsRepeat endlessly",Neutral,0.0,Hate
@user @user Says the woman who votes for rape enabling criminal and supports killing babies,Negative,-0.9001,Non-hate
Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃,Negative,-0.5994,Hate
Germany lifts ban on reunions for refugees,Negative,-0.5574,Non-hate
France: The imported muslim antisemitism against Jews in France increase. Jews have fear. And nobody stop this immigration !,Negative,-0.5255,Hate
IM bout sick and tired of you CRACKASSCRAKAZ fucking everything up yall really mentally incapable of comprehending reality you fucked up the world then blame the ones FORCED to helpyou get in that position ima proud immigrant and yall some victim playing victimizing WHOORES 🖕🖕,Negative,-0.9657,Non-hate
‘˜We will decide who enters our countries!' Hungary and Poland REJECT EU refugee quotas,Negative,-0.5754,Hate
"And it's irritating, just like the 'Not all men' or 'But he's a good guy' argument in the face of sexual harassment women face EVERY DAY.",Negative,-0.6597,Non-hate
@user @user @user They would would be opening up a flood gate for migrants. Saudi Arabia does not want the financial burden or possibly the lower class of Muslim influence.,Negative,-0.6511,Hate
"Now again in office. Orban starts his next 4 years with a complete majority in Hungarian parliament. The fighter against refugees and Soros says the liberal Europe is past, now he want to establish an European christian political reformation.",Positive,0.2263,Non-hate
@user is a whore for any medical show and I'm a slut for a crime drama. Two sides of the same coin.,Negative,-0.9118,Non-hate
When men leave dumb comments thinking it's gonna hurt my feelings,Negative,-0.7845,Non-hate
No Woman Is Immune #rape #sexualabuse,Negative,-0.6908,Non-hate
"@user Stop stereotyping women. Just like how not all men are jerks, not all women spill the beans.",Negative,-0.2023,Non-hate
Angry Italian officials refuse to let this Italian commercial ship disembark 66 refugees &amp; migrants because they think it should have let Libyan coastguards intercept them and return them to inhumane detention centers instead,Negative,-0.7906,Hate
If you say not all men to me you're getting blocked without discussion.,Negative,-0.2732,Non-hate
Did you know that #TEDxKakumaCampâŒ was the world’s first ever TEDx event from a refugee camp? You can now see the entire show here:,Neutral,0.0,Non-hate
@user don't even get me started on spandex! #WomenSuck,Neutral,0.0,Hate
"UN bid to improve migrant, refugee response flounders as political will evaporates",Positive,0.4404,Non-hate
#tgt the woman accusing#rapper #nelly of rape will not testify. Sippers🍵 here’s the spill from…,Negative,-0.6908,Non-hate
"Lil bitch that pussy so dry, You finna break the rubber",Negative,-0.5859,Hate
"On Wednesday, August 8, DACA will be back in the courts &amp; this time, Texas Judge Andrew Hanen, a well-known anti-immigrant zealot, will decide the program’s fate.  Here's a recap of Hanen and Paxton’s anti-immigrant partnership in U.S. v. Texas:",Negative,-0.4404,Non-hate
Right?! It's really all I live for,Neutral,0.0,Non-hate
"Douglas Todd: Trudeau government goes silent on Canada's 50,000 Syrian refugees, via @user add it to the alarming list of his and his government's fails.",Negative,-0.5106,Non-hate
When you're on a date with someone that won't stop talking about their ex,Positive,0.2235,Non-hate
"Above all else, Trump is a stupid son of a bitch..",Negative,-0.802,Non-hate
Americans Agree with @user on #immigration we can not afford to give welfare to illegals while U.S Citizens are homeless #VoteDemsOut  #FamiliesBelongTogetherMarch,Positive,0.3612,Hate
"Ladies you want equal rights? Well in that case my lawn needs cutting, my car needs an oil change, and my ass needs wiping. #GetToIt",Negative,-0.3818,Hate
U.N. warns of 'critical gap' in Syrian refugee aid this year #UnitedNations,Negative,-0.4019,Non-hate
Germany is the most beloved target for refugees in Europe. 2/3 of them go to this destination. Last year(2016) 388.201 refugees like to settle !,Positive,0.7495,Non-hate
"Refugees don't choose to be refugees. By definition, refugees have been forced to leave their home country because their lives or safety were threatened.Learn more about refugees by downloading our free e-book ""8 Things You Should Know About Refugees"" âž",Positive,0.4404,Non-hate
@user @user This woman has moved right past the cunt stage straight in to twatdom.,Negative,-0.3182,Hate
When bae asks you where you wanna eat,Neutral,0.0,Non-hate
I am PROUD to be an #MRA. If stupid feminists can complain I should be able to complain just as loud. It's only fair.#,Negative,-0.3109,Hate
@user ctfu tell that bitch don't be snitching she got caught whore,Negative,-0.8442,Hate
#UK refugee's major maths award stolen,Positive,0.081,Non-hate
#Burundi—Vocational training for refugees in Mahama started today at the newly inaugurated Elite Center.,Neutral,0.0,Non-hate
@user then why tho?? u damn stupid hoe 😂,Negative,-0.5514,Hate
"@user RT #WeThePeople need @user actions to start backing up his words with real Conservative actions and results. Not the RINO shit coming out of #Congress, RINOs, McConnell, Ryan, Pence, Brady, & the Koch Brothers. #USA #Americans",Positive,0.4632,Hate
French NGO vows nothing will stop Aquarius migrant rescues,Positive,0.4919,Non-hate
Please spread your cunt hole fully,Negative,-0.2263,Hate
@user no I said hope. I hope you women learn your place! #SitDownInTheKitchen,Positive,0.5983,Hate
Take off those glasses! They aren't real you hipster fuck! #WomenSuck,Negative,-0.6229,Hate
@user Yo this bitch is blowing my shit 😑fr talking bout I'm trying to talk to her girl shawty won't even show her face .,Negative,-0.8442,Hate
DRAKE! I WILL RIP YOUR HAIR OUT IF I SEE YOU AND THIS BITCH TOGETHER,Negative,-0.6996,Hate
"According to the supporters of immigration policy that would throw open the doors to every Tomas, Ri    What the leftist media hides from you...",Positive,0.296,Hate
Mounting Reports of Deliberate Trauma Inflicted on Immigrant Children Detained by the Trump/Pence Regime  #ChildrenInCages #FamilySeparation #ReuniteTheFamilies #ReuniteFamiliesNow #ReuniteEveryChild #ImmigrantChildren,Negative,-0.6705,Non-hate
@user @user true but not all men are the same and i hope you make the distinction that its not all men,Positive,0.6956,Non-hate
@user I was banned from your chat because I said that cunt was a disrespectful term and I knew why you said it but it still stung.,Negative,-0.4767,Non-hate
"@user @user Why are YOU hiding YOUR recklessness w/ respect to YOUR Bankruptcy?You, if ANYONE should understand &amp; accept immigration laws have changed over time. Don't conflate the past with today.Follow the Law Pimp or get disbarr",Positive,0.5423,Non-hate
I don't care what a bitch think or how a hoe feel 🆗🗣,Negative,-0.5416,Hate
Observers dismiss #Myanmar’s new inquiry into #Rohingya as political gimmick via @user,Neutral,0.0,Non-hate
DOJ declared the forfeiture of Sr. Pat's visa by Immigration Bureau null and void but it's not over yet #ucanews #thereforthevoiceless #humanrights #Philippines #HandsOffSrPat @user @user @user @user @user @user @user @user,Neutral,0.0,Non-hate
"“I think we need to have a little talk, woman to skank.” Jeaniene Frost#iloveparanormalromance",Neutral,0.0,Non-hate
"This community won't let go of Weinstein like he's still rich enough for Dems cash it seems....I wish to hear more globalist celebs adopt more immigrants/refugees, the children in poverty still have their parents to take care of them....",Positive,0.8646,Non-hate
my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb,Negative,-0.7964,Hate
Pro Tip- All girls like being told they're good girls,Positive,0.6597,Non-hate
Austria joins Eastern Europe! Rejects EU plans for more migrants,Negative,-0.5411,Non-hate
"What would I do for Trump? Anything. Yes anything to keep my country FREE, to support are VETS, and to FIGHT radical Islamic terrorism. What would YOU do #ForTrump, who has done so much for America?#MAGA#TCOT#TheXFactor#BuildThatWall",Positive,0.2168,Hate
"Massive red salute to a living legend now leaving us: Arsene Tchakarian, the last living member of the Missak Manouchian Group -- the communist immigrant partisan militia that fought the Nazi occupation of France during World War II -- has died at age 101.",Negative,-0.8689,Non-hate
Remittances to Caribbean islands reached record high in 2016 – World Bank,Positive,0.1027,Non-hate
@user Rage of women of trump in the White House made them individually fearless to turn on Weinstein! Blame 1 man not all men.,Negative,-0.5255,Non-hate
Chi-town is a 💩⚫,Neutral,0.0,Non-hate
Not all men are the same......oh wait yes they are. And yes I love my bf. And yes men are still trash. Fuck you pay me bitch.,Positive,0.5574,Non-hate
"Last week UNHCR released their annual Global Trends Report, which found that there are currently 25.4 million refugees around the world. Will you make the future brighter for just one? Donate or become a fundraiser on behalf of refugees here. âž",Positive,0.3818,Non-hate
We let these #migrants in to our country for a better life but what's about our lives and our children's future. That do not want to live by our laws. These #Muslims do not respect our way of life. #SENDTHEMBACK,Negative,-0.4047,Hate
Laying in my bed telling me not to suck your cock cause it smelled... we know why.. it was up some skanks arse before you came to mine,Positive,0.2037,Hate
tf yall hoes so mad bc a bitch in harm's way everyday for,Negative,-0.8367,Hate
Waking up seeing drunk texts you sent from the night before,Negative,-0.34,Non-hate
Dispelling The Myth Of The Girl Who Cried Rape #resist,Negative,-0.8074,Non-hate
UN wants ‘˜immediate halt’ to separation of migrant families in US  Tell the UN to kiss our azs and stay out of our business.,Positive,0.4215,Hate
never make yo main look stupid for a hoe,Negative,-0.5267,Non-hate
"When life gives you lemons just remember... Nobody gives a fuck, keep that shit to yourself",Negative,-0.7964,Non-hate
"Maybe diversity.Or results of western globalization,war propaganda of Pentagon n Hollywood,arming terrorists/Anti-Govt groups,refugees can be good for economy for labors/trafficking.Eiffel Tower in glass is many things.But it's not peace. @user @user",Negative,-0.2382,Non-hate
When she sees your dick for the first time and it's bigger than she expected,Negative,-0.5106,Non-hate
"Watch: French Mayor Declares ""Muslim migrants are not welcome here"" - Free Speech Time - @user",Positive,0.2071,Hate
Marc Gasol volunteering aboard migrant rescue boat,Positive,0.5267,Non-hate
no thanks they are the reason we are not independent selfish individuals who wanted to use the NHS etc to much immigration no thanks,Negative,-0.3089,Non-hate
Not all men treat women badly. There are some really great ones and they deserve recognition. Maybe this way we can show our daughters...,Neutral,0.009,Non-hate
Checkout this cool video review that features our picture book Irving Berlin: The Immigrant Boy Who Made America Sing. @user,Positive,0.3182,Non-hate
📹 cumbutt: gaymanfetish: nohoslut: Never be ashamed of being a CUM whore pig slut Follow my other...,Negative,-0.7612,Non-hate
@user BITCH you shouldnt be putting it out there cunt nugget,Negative,-0.8286,Hate
10 migrants saved by Turkish tour boat off Bodrum,Positive,0.4215,Non-hate
Charles Manson out here gettin married in jail and your lame ass can't even get a text back,Negative,-0.743,Non-hate
You @user should understand most of these women want to be single moms until finances bit then they bitch #MainaAndKingangi,Negative,-0.5423,Non-hate
The @user as currently constituted is merely a cunt hole. There's a lot of scum in there. @user Just bolted out of the mire,Negative,-0.4939,Non-hate
@user @user They are trying to rape that young girl and they rome around like animals fucking wankers,Negative,-0.4939,Non-hate
@user You need a thick Cock in your throat 😂😂,Positive,0.6369,Hate
Macron the centrist cat stands like the gorgeous Eiffel Tower in glass tuxedo thx for the war lies n propagandas are you still sending refugees to forests? War criminal! Free New Caledonia @user @user,Negative,-0.4574,Hate
"Bitch you a hoe, tf.",Negative,-0.5859,Hate
"@user Immigration changes lives with unmatched dreams where people expect to be housed , to live the American dream !! While Millions of Americans never reach that height because of over populated Migrants who expect much and get angry and viol",Positive,0.1556,Hate
"So over everything being called a fucking bitch ass whore daily when Im the only one that does anything takes care of 8 kids alone,done dont want to be here any fucking more. Gone",Negative,-0.8874,Non-hate
"pepperspray or smth, if you dont protect yourself dont be surprised if u get raped :/' like bitch maybe just teach men not to rape women",Negative,-0.7195,Hate
"@user @user Lily doesnt know the meaning of Loyal. Shes a hothead alcoholic, mad cuz Jr dismissed her, So she runnin to kiss Ryan Ass! Bye Felicia, & take that skank ass Art thief that YOU hired Out the fuck as well!",Negative,-0.893,Hate
Hey boys instead of saying 'not all men' how bout you just ya know stop raping us,Negative,-0.7906,Non-hate
"@user We know that, we know not all men. But harassment happens to all women - this isn't about you",Negative,-0.6956,Non-hate
"Happy Birthday you stupid fucking bitch. I hope you slip and break ya neck, hoe. Grown to love yo lame ass. @user",Negative,-0.4077,Hate
"From Zac Goldsmith's vile campaign against Sadiq Khan, Boris Johnson's history of foul remarks about non-white people, or Theresa May's 'go home' vans &amp; treatment of Windrush immigrants, the Tory Party is clearly racist to the core and doesn't deserve the votes of decent people.",Negative,-0.5719,Non-hate
Mitch McConnell Endorses Reductions in Legal Immigration,Positive,0.4404,Non-hate
Hey that looks like it could be an interesting book on migration maybe I'll stick it on my reading list oh no wait that's ok,Positive,0.6369,Non-hate
Authorities on Samos object to plans for new migrant camp,Neutral,0.0,Non-hate
Illegal Alien Heroin Dealer Has Been Charged 41 Times In 10 Years via @user anyone explain to me why?#BuildTheWall #NoAmnesty #EndChainMigration #BanSanctuaryCities#EnforceUSLaws8 US Code 1325This FELON should never have been Free!,Negative,-0.8908,Hate
Good News !Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration  #RedNationRising #Trump #MAGA #SendThemHome via @user,Negative,-0.6239,Hate
69. #Bozo is the friend who tries to con you into privacy so he can either pressurise you into consensual sex or rape you.,Negative,-0.4767,Non-hate
"This is what a home repair looks like in the #refugee camps of #Bangladesh. A #Rohingya woman uses her hands to spread mud over the cracks in her home. In the midst of #monsoon season, these homes are at constant risk of washing away. You can help:",Positive,0.4767,Non-hate
I never realize how long a minute actually is until I get stuck listening to a minute long voice memo about a bunch of shit idgaf about,Negative,-0.6808,Non-hate
"""Closing our southern border would signal Canadian support for Trump’s refugee processes... It would be complicity with Trump’s expanded use of detainment """,Positive,0.4019,Non-hate
Before I rip you a new asshole vs after,Neutral,0.0,Hate
This is when a guy says something like “I don’t want to date a hoe” n a woman responds with “But you n your sister got different daddies” bitch so...still not dating a hoe lol,Positive,0.2023,Hate
"@user what did we learn by Greenland leaving the EU no immigration no rapes , violence , or meddling fools imposing rules ,brave 2",Negative,-0.2551,Hate
@user Not all men - at least one woman,Neutral,0.0,Non-hate
What she really means when she says she likes bad boys,Negative,-0.1779,Non-hate
#Trump officials may succeed in changing the “refugee status” of some #Palestinian refugees BUT they will never succeed in taking away the national identity of 7.2 million Palestinian refugees or their right of return!,Negative,-0.3887,Non-hate
Germany inks deal with #Spain to return registered migrants,Neutral,0.0,Non-hate
The Trump supporter has made a name for himself with anti-immigrant views and allegations of voter fraud. Will Republicans make him their pick for governor?,Negative,-0.4019,Non-hate
'How do you live with yourself?',Neutral,0.0,Non-hate
"When she says 'stick it in my ass and fill me up, daddy'",Negative,-0.5423,Non-hate
When you just got home from getting dicked down and now you gotta deal with your shrimp dick boyfriend,Negative,-0.5106,Non-hate
@user #BuildThatWall #BuildTheWall #BuildTheDamWall NOW!AMERICA WANTS JUSTICE NOW #VoteDemsOut #VoteRed #Walkaway #SAVEAmerica,Positive,0.6625,Hate
"@user @user India is gradually becoming safe heavens for drug traffickers,smugglers,illegal immigrants",Positive,0.6808,Non-hate
Dont worry @user you are and will always be the most hysterical woman.,Positive,0.253,Hate
"Orban will not take refugees to Hungary and will stop Soros forever. EU dont like that, so they go to court. But Orban, the defendor of Europe will never take refugees. If it goes hard, he will go out of the EU.",Negative,-0.4127,Non-hate
"As usual, a lot of confusion here between ""forcibly displaced people"" and ""refugees."" Around 40 million are displaced within their own countries, but have been entirely excluded from the UN's 'Global Compact on Refugees'.",Negative,-0.6297,Non-hate
@user First ima smack that ass then eat that pussy from the back then wrap your hair around my hand while I choke you and slide in slow and long strokes tease u then start pounding that pussy,Negative,-0.7269,Hate
In Mexico & CanadaONLY NATIVE BORN CITIZENS ARE ALLOWED TO VOTE IN THEIR ELECTIONS & EXCLUDES NATURALIZED CITIZENS!We should do the same in U.S.A.#RETWEET#RESIST#ThursdayThoughts #TrumpKnew Help #BuildThatWall @ #EndDACA#TheFive,Positive,0.4574,Hate
"The immigrants that ""built this country"" are already citizens.They are not the ones crossing the border today.",Neutral,0.0,Non-hate
